TT,TRIBUNAL DE TASACIONES DE LA NACION (TTN)
IV,MINISTERIO DE DESARROLLO TERRITORIAL Y HABITAT
MC,MINISTERIO DE EDUCACION
AU,COMISION NACIONAL DE EVALUACION Y ACREDITACION UNIVERSITARIA (CONEAU)
ML,FUNDACION MIGUEL LILLO (LILLO)
CT,MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION
CO,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS (CONICET)
AE,COMISION NACIONAL DE ACTIVIDADES ESPACIALES (CONAE)
AH,BANCO NACIONAL DE DATOS GENETICOS (BNDG)
SE,MINISTERIO DE CULTURA
TC,TEATRO NACIONAL CERVANTES (TNC)
BN,BIBLIOTECA NACIONAL DR. MARIANO MORENO (BNMM)
IT,INSTITUTO NACIONAL DEL TEATRO (INT)
AR,FONDO NACIONAL DE LAS ARTES (FNA)
MT,MINISTERIO DE TRABAJO, EMPLEO Y SEGURIDAD SOCIAL
SU,SUPERINTENDENCIA DE RIESGOS DEL TRABAJO (SRT)
AN,ADMINISTRACION NACIONAL DE LA SEGURIDAD SOCIAL (ANSES)
MS,MINISTERIO DE SALUD
SO,HOSPITAL NACIONAL EN RED ESPECIALIZADO EN SALUD MENTAL Y ADICCIONES LICENCIADA LAURA BONAPARTE (H.BONAPARTE)
HS,HOSPITAL NACIONAL DR. BALDOMERO SOMMER (H.SOMMER)
MA,ADMINISTRACION NACIONAL DE MEDICAMENTOS, ALIMENTOS Y TECNOLOGIA MEDICA (ANMAT)
CU,INSTITUTO NACIONAL CENTRAL UNICO COORDINADOR DE ABLACION E IMPLANTE (INCUCAI)
IM,ADMINISTRACION NACIONAL DE LABORATORIOS E INSTITUTOS DE SALUD DR. CARLOS G. MALBRAN (ANLIS)
HP,HOSPITAL NACIONAL PROFESOR ALEJANDRO POSADAS (H.POSADAS)
MO,COLONIA NACIONAL DR. MANUEL A. MONTES DE OCA (M.OCA)
IR,INSTITUTO NACIONAL DE REHABILITACION PSICOFISICA DEL SUR DR. JUAN OTIMIO TESONE (INAREPS)
NS,SUPERINTENDENCIA DE SERVICIOS DE SALUD (SSSALUD)
IC,INSTITUTO NACIONAL DEL CANCER (INC)
AL,AGENCIA NACIONAL DE LABORATORIOS PUBLICOS (ANLAP)
RN,MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE
PQ,ADMINISTRACION DE PARQUES NACIONALES (APN)
DS,MINISTERIO DE DESARROLLO SOCIAL
MF,SECRETARIA NACIONAL DE NIÑEZ, ADOLESCENCIA Y FAMILIA (SENNAF)
AC,INSTITUTO NACIONAL DE ASOCIATIVISMO Y ECONOMIA SOCIAL (INAES)
MU,MINISTERIO DE LAS MUJERES, GENEROS Y DIVERSIDAD
